DAFTAR SATUAN PENDIDIKAN JENJANG SMA,,,,,,,,,,,,,,,,
TAHUN AJARAN 2024/2025,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAMA SEKOLAH,NPSN,BENTUK,NAMA DUSUN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,PROVINSI,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI,SUMBER LISTRIK,AKSES INTERNET,SUMBER AIR,KECUKUPAN AIR
SMA PELITA BUNGA BANGSA,20227874,SMA,-,Arjasari,Kec. Arjasari,Kab. Bandung,Prov. Jawa Barat,40379,-7.055749100000,107.646210200000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA PEMUDA BANJARAN,20227875,SMA,Kamasan,Kamasan,Kec. Banjaran,Kab. Bandung,Prov. Jawa Barat,40377,-7.048179000000,107.583314000000,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup
SMA PERKAPEN SINUMBRA,20227876,SMA,KP. SINUMBRA,Indragiri,Kec. Rancabali,Kab. Bandung,Prov. Jawa Barat,40973,-7.150200000000,107.333800000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA PGRI 31 PANGALENGAN,20227871,SMA,Pangalengan,Pangalengan,Kec. Pangalengan,Kab. Bandung,Prov. Jawa Barat,40378,-7.176000000000,107.570900000000,SWASTA,A,Ada,Ada,Ledeng/PAM,Tidak ada
SMA PGRI CICALENGKA,20251784,SMA,CIKUYA,Cikuya,Kec. Cicalengka,Kab. Bandung,Prov. Jawa Barat,40395,-6.981800000000,107.829400000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA PGRI RANCAEKEK,20206133,SMA,Pasantren,Bojongloa,Kec. Rancaekek,Kab. Bandung,Prov. Jawa Barat,40394,-6.953700000000,107.765900000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA PLUS BABUSSALAM CIMENYAN,20227816,SMA,Ciburial,Ciburial,Kec. Cimenyan,Kab. Bandung,Prov. Jawa Barat,40069,-6.856939000000,107.644165000000,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup
SMA PLUS ISLAM PACET,20227877,SMA,-,Maruyung,Kec. Pacet,Kab. Bandung,Prov. Jawa Barat,40385,-7.150100000000,107.333500000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA PLUS MERDEKA SOREANG,20227878,SMA,-,Soreang,Kec. Soreang,Kab. Bandung,Prov. Jawa Barat,40911,-7.033943300000,107.540218300000,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup
SMA PLUS TEBAR ILMU CIPARAY,20227921,SMA,papakserang,Serangmekar,Kec. Ciparay,Kab. Bandung,Prov. Jawa Barat,40381,-7.025500000000,107.691900000000,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup
SMA PONDOK SCHOOLING DARUL ILMI,70046541,SMA,Kp Cijambe Komplek Baitul Mansyurin Cinunuk Cileunyi,Cinunuk,Kec. Cileunyi,Kab. Bandung,Prov. Jawa Barat,40625,0.000000000000,0.000000000000,SWASTA,Belum Akreditasi,Ada,Ada,Sumur terlindungi,Cukup
SMA PUQ PAMEUNGPEUK,20227815,SMA,Bojongpulus,Sukasari,Kec. Pameungpeuk,Kab. Bandung,Prov. Jawa Barat,40376,-7.018600000000,107.592800000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA PUTRA INDONESIA PASEH,20227879,SMA,-,Cipaku,Kec. Paseh,Kab. Bandung,Prov. Jawa Barat,40383,-7.049000000000,107.776900000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA SAPTA DHARMA,20206132,SMA,-,Pamekaran,Kec. Soreang,Kab. Bandung,Prov. Jawa Barat,40912,-7.025583300000,107.517046700000,SWASTA,A,Ada,Ada,Sumur terlindungi,Kurang
SMA SOREANG PUTRA,20206142,SMA,-,Soreang,Kec. Soreang,Kab. Bandung,Prov. Jawa Barat,40912,-7.024736600000,107.521148300000,SWASTA,A,Ada,Tidak ada,Sumur terlindungi,Cukup
SMA SWADAYA KARYA CIWIDEY,20227881,SMA,Cibadak,Sukaresmi,Kec. Rancabali,Kab. Bandung,Prov. Jawa Barat,40973,-7.193300000000,107.363500000000,SWASTA,B,Ada,Ada,Air sungai,Cukup
SMA TALENTA,20252198,SMA,Mekar Rahayu,Mekar Rahayu,Kec. Margaasih,Kab. Bandung,Prov. Jawa Barat,40218,-6.963448000000,107.558645000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA TAMAN SISWA RANCAEKEK,20227920,SMA,Rancanilem,Bojongloa,Kec. Rancaekek,Kab. Bandung,Prov. Jawa Barat,40394,-6.971600000000,107.764400000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA TELKOM BANDUNG,20228479,SMA,-,Citeureup,Kec. Dayeuhkolot,Kab. Bandung,Prov. Jawa Barat,40257,-6.973400000000,107.626300000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup
SMA TERPADU AL-MUMIN,20227912,SMA,Sadang,Sukamantri,Kec. Paseh,Kab. Bandung,Prov. Jawa Barat,40383,-7.051600000000,107.770700000000,SWASTA,B,Ada,Ada,Pompa,Kurang
